,for the 5-year period 1995-2000,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
2,ABW,0,0,0,0,0,0,0,7,1,0,0,0,0,0,24,1,0,0,0,0,0,0,0,1,0,0,0,0,50,1,0,0,0,0,0,0,0,26,0,0,2,0,0,0,7,0,1,84,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,2,0,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,587,0,0,46,0,0,0,0,0,0,0,0,903
3,AFG,0,0,0,0,161,3,0,2879,852,2,0,0,0,0,198,18,8,0,0,55,0,0,0,0,0,0,0,0,6230,227,0,5,0,0,0,0,0,18,0,0,0,0,1,30,12422,0,896,1,0,2,0,0,0,0,0,0,92,0,370,0,0,5562,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,149,0,0,55,339736,89,0,334,3,0,0,0,18,0,1,0,3,13,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,3800,164,0,208,0,0,0,0,223,0,12,1,0,1,0,0,0,0,0,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,616,0,38,0,0,10,1303,1,0,0,0,0,891,0,0,104,0,11470,0,0,2,0,0,0,0,0,4,0,0,389519
4,AGO,0,0,0,0,0,5,0,185,53,0,0,208,0,0,1278,1,0,1,0,0,0,1,1952,0,0,0,462,6,847,875,14,25,0,0,0,0,172,13,0,699,1,13,9,22,110,0,36,9,0,3,0,178,0,930,0,0,33,0,2365,0,113,4244,0,0,0,1,0,0,22,2,0,0,0,0,0,0,0,0,0,21,0,0,233,0,0,7,3,514,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,42,0,0,11441,0,0,22,1,937,38,0,85,0,0,5,2,758,0,5,1,0,39119,1,0,0,0,0,1,56,302,0,0,0,0,0,0,0,0,0,0,106,0,11,1,101,31,0,0,0,4,0,0,0,0,0,0,1,174,0,0,0,2892,0,0,87,0,96,0,0,0,5610,58976,0,136759
5,ALB,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,121,0,0,3817,0,0,0,0,0,0,0,0,0,2483,0,0,1,0,0,0,0,0,0,0,0,1,0,26,26,895,0,34,3,0,5,0,0,0,260,0,0,14,0,0,0,0,15,0,0,0,0,0,0,0,173051,0,0,0,0,0,0,0,0,0,22,0,0,127,0,0,4,0,75841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6926,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,61,0,10,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,0,0,7,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18069,0,0,0,0,20,0,0,0,18,0,0,282616
6,ARE,6,0,0,0,0,1,0,2099,86,0,0,10,0,0,78,27,1264,1,0,0,0,1,22,6,2,1,0,0,6277,94,88,13,25,0,0,0,0,39,0,0,8,1,145,16,7,0,184,10,163,1,38,0,0,166,0,0,28,0,176,0,0,15,0,2,0,1,0,0,0,7,0,0,0,0,2,101,6,1,2,151,0,9184,240,0,294,3,65,35,13,65,25,0,11,0,338,4,7310,0,1,27,999,2,0,0,8,1,2,0,0,0,0,0,598,0,0,18,0,0,0,0,28,0,0,13,17,0,0,0,0,0,1,36,82,0,452,1852,0,9,4,614,0,48,156,1,19,1,3432,0,2243,0,51,107,7,0,151,0,0,0,3,0,0,1,2309,0,10,14,5,246,0,0,0,1,1475,0,0,0,0,9,0,29,1,615,0,0,8277,0,1,8,0,14,0,0,0,67,0,1,53024
7,ARG,1,0,0,14,1,0,0,4804,229,0,0,176,0,0,591,97,0,11,167,1,0,5191,7301,1,0,1,6,0,7160,604,17,12481,134,0,0,0,0,1136,0,23,601,0,51,117,1910,0,284,2701,0,20,0,0,0,69102,1,0,45,0,1385,0,0,1244,0,4,0,12,0,0,195,479,0,0,9,0,4,56,68,235,645,737,0,0,1144,48,2,46,2976,237,5,1,433,5,0,0,17,0,0,0,2,215,0,2,0,0,0,192,13,0,0,0,3,0,5293,4,0,13,0,0,0,0,0,4,16,0,0,0,0,9,0,0,0,189,123,0,355,0,0,421,228,434,0,8,657,5,653,13699,0,9,0,0,42,21,1,0,0,0,0,0,1,0,0,621,3,0,4,316,379,450,0,0,0,1,167,0,0,0,0,4,0,30,4,44,4,4946,62432,1,0,3216,0,50,0,0,0,273,0,0,220523
8,ARM,0,0,0,4,0,498,0,740,1056,737,0,29,0,0,3,524,0,0,4,2394,0,1,0,0,0,0,0,0,901,183,0,4,9,0,0,0,0,17,0,1,6,0,588,441,14054,0,248,7,0,5,0,0,0,1103,187,0,411,0,2521,0,1,121,0,0,0,0,0,0,0,4927,0,0,0,0,0,0,1,0,0,121,0,0,113,4635,25,7,1608,344,0,2,34,2433,0,591,7,15,0,0,1,0,1,0,0,0,156,3,633,0,0,41,0,0,174,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,62,0,44,0,0,10,1,235,0,361,0,0,87,0,0,0,0,0,14,151835,0,0,0,0,0,0,2,0,0,21,0,0,0,126,10,186,0,0,0,0,0,0,266,0,0,0,0,1130,0,31,29359,0,35394,2286,0,19,0,0,0,0,0,8,0,0,264347
9,AUS,0,0,0,30,0,28,0,0,163,0,0,159,0,0,88,72,0,22,8862,0,0,10,142,6,114,7,7,0,3662,129,7,342,843,1,0,0,0,43,0,0,27,0,2925,182,2695,0,381,77,0,0,0,0,2,3000,2,0,86,4,92,0,0,17733,0,3,3,0,0,0,9,9546,0,0,0,0,0,3365,2,365,9,2319,0,0,2472,1023,4,28,313,756,0,6,1572,5,15,0,2242,205,0,4,8,65,0,4,0,0,0,28,29,35,0,0,0,0,340,0,0,371,0,0,0,0,0,0,28,24,420,0,0,15,0,326,0,382,270,0,7020,0,0,21,58,683,0,0,17,25,391,9,0,7,0,0,15,32,307,0,0,0,2268,0,0,0,0,2890,25,0,0,2257,1023,302,5,0,0,3,13003,0,0,0,0,0,0,0,0,13,9,0,24881,0,0,47,0,110,0,84,0,215,2,0,124276
10,AUT,0,0,0,12,0,0,0,461,0,0,0,190,0,0,701,22,0,2,34507,0,0,3,1,0,0,2,0,0,211,2449,0,12,0,0,0,0,0,8,0,0,14,0,32,2335,138,0,154,153,0,0,0,0,0,1248,0,0,28,0,332,0,0,3097,0,0,18,0,0,0,3,33,0,0,0,0,0,8,2,667,34,1567,0,0,163,1507,8,12,150,348,0,0,34,0,3,0,280,2,0,0,0,156,0,0,0,0,0,6,21,0,0,0,0,0,121,1,0,11,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,24,253,3,48,0,0,8,0,407,0,0,12,0,77,8,0,0,0,0,5,62,341,0,0,0,6,0,0,0,0,8321,59,0,0,2170,1938,522,0,0,0,37,1157,0,0,0,0,0,0,297,2,15,0,0,474,0,0,39,0,54,0,0,0,37,0,0,67648
11,AZE,0,0,0,2,0,40,3,285,291,0,0,29,0,0,3,431,0,1,5,1635,0,3,14,0,0,0,0,0,446,78,0,11,10,0,0,0,0,10,0,1,5,0,82,143,12275,0,61,14,0,1,0,0,0,284,30,0,335,0,142,0,0,210,0,0,0,0,0,0,0,144,0,0,0,0,0,18,0,8,2,141,0,0,154,427,4,9,3184,200,0,4,29,1818,0,225,3,16,0,0,3,5,1,0,0,0,0,1,1244,1,0,0,0,0,29,0,0,5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,131,52,1,53,0,0,4,1,5,0,158,0,0,84,2,0,0,0,0,12,80946,3,0,0,0,1,0,1,0,0,28,0,0,0,56,11,102,0,0,0,2,9,0,0,0,0,0,0,2466,1,4,15649,0,10005,0,0,8,0,1,0,0,0,73,0,0,134428
12,BDI,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,51,1,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,81,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,0,0,0,0,0,0,0,20,0,0,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,382330,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,29,0,0,23,0,0,0,0,0,0,0,0,42482,0,0,0,28,0,0,0,0,0,0,0,0,99,164,0,427391
13,BEL,0,0,0,2,2,57,0,294,207,0,12,0,80,1,405,60,0,6,759,0,0,36,5,0,0,0,0,0,172,449,0,9,1,0,0,0,0,58,0,6,50,0,76,138,1700,0,364,140,2,0,0,0,0,14741,0,0,38,0,3939,0,17,5314,0,3,151,23,0,0,502,1581,0,0,30,0,1,9,7,68,4,487,0,0,340,502,6,28,384,127,4,0,5,7,1,0,141,1,1,0,0,203,6,0,0,0,0,1159,7,0,0,0,0,0,567,15,0,13,0,0,0,0,0,12,0,0,0,0,0,0,20,12,0,988,132,0,107,0,0,7,0,281,0,0,112,0,614,19,0,0,0,0,2,0,2138,1,0,0,0,0,1,0,1,181,0,0,0,72,87,149,0,0,0,388,584,0,0,0,0,3,0,0,0,17,0,0,4132,1,0,14,0,38,0,0,0,6,0,0,45642
14,BEN,0,0,0,0,0,0,0,6,6,0,0,0,0,371,0,4,0,0,0,0,0,0,0,0,0,0,0,0,116,11,0,1,0,0,0,0,0,0,0,0,0,0,1,4,136,0,9,5,0,0,0,0,0,31,0,0,0,0,437,0,2343,3,0,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7005,17272,0,17,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,59,0,0,0,0,24,0,13,0,2,0,0,0,28815,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,2,0,0,59021
15,BFA,0,0,0,0,0,5,0,24,29,0,0,1,3717,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,441,51,0,1,0,240742,0,0,0,1,0,1,0,0,1,2,893,0,27,0,0,0,0,0,0,236,0,0,5,0,772,0,828,384,0,15364,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,2859,0,0,14,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10746,1479,0,140,9,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,112,0,0,0,0,0,0,53,0,0,0,0,5,0,1,1,14,0,0,0,2412,0,0,0,0,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,283738
16,BGD,19,1,0,0,54331,89,0,7603,709,0,0,297,0,0,0,161,4324,2,4,3,12,20,219,5,634,114,16,0,21296,273,1,101,1747,0,0,0,0,91,0,2,64,0,200,148,2066,0,373,119,60,4,2,3,0,1476,2,0,253,396,1315,0,1,57736,0,2,0,5,0,0,3,1707,0,0,14,25,19,16715,54,9,24,303,0,465074,1163,132,7,21,279,13528,51,2434,4818,11,0,0,5369,5154,21597,29,1847,237,327,4,0,0,0,9,13,987,1,0,23,0,5091,4,1,13,2674,0,0,0,1,3,472,0,30575,2,0,13,3,3,0,610,304,1381,1504,3,37233,128,1,1349,1,11,1223,62,221,7,2,13,5786,11,37,4,24,14,0,0,20662,37,12,0,0,14,8,0,26,34,10,1068,0,0,0,7,141250,0,0,0,1,37,0,88,0,187,0,0,110884,0,3,171,0,1173,0,4,0,595,2,0,1063344
17,BGR,0,0,0,0,0,0,0,837,2214,0,0,210,1,0,959,0,0,0,78,0,0,4,18,0,0,0,0,0,4438,394,0,31,0,0,0,0,0,22,0,0,24,0,1200,1177,4023,0,305,162,0,4,0,0,0,1963,0,0,130,0,1212,0,0,763,0,0,0,0,0,0,0,20303,0,0,0,0,0,0,0,0,0,218,0,0,619,16,0,41,2442,5435,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,39,0,0,0,0,0,0,161,111,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,326,0,181,0,0,38,0,555,0,100,0,0,281,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,445,3,0,0,626,47,716,2,0,0,0,3,0,0,0,0,0,0,45080,0,1,0,0,21829,0,0,34,0,71,0,0,0,156,0,0,120676
18,BHR,1,1,0,0,314,8,0,428,9,0,0,2,0,0,11341,2,0,0,0,0,0,0,3,1,0,0,0,0,858,27,12,3,4,0,0,0,0,5,0,0,2,0,41,8,16,0,46,15,0,0,0,0,0,26,0,0,2,0,25,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,14,1,0,0,6,0,1,66,1,3,1,13,10,2,96,4,3,2,0,40,1,156,0,95,4,1,0,0,0,0,0,0,0,0,0,0,0,83,2,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,50,13,0,112,0,36,3,1,5723,0,0,22,0,11,0,56,0,47,0,0,18,1,0,44,0,3,0,0,0,1,0,276,0,1,3,0,22,0,0,0,0,176,0,0,0,0,1,0,8,0,73,0,0,1267,0,0,0,0,687,0,0,0,21,0,0,22510
19,BHS,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,150,3,0,1,0,0,0,0,0,4,0,0,4,0,0,0,1,0,3,34,0,0,0,0,0,1,0,0,1,0,2,0,0,21,0,0,0,0,0,0,0,8,8,0,0,0,4,5,2,0,1,4,0,0,15,1,0,0,0,9,242,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,11,0,0,20,0,1,0,0,46,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7369,0,0,2,0,0,0,0,0,0,0,0,8186
20,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,BLR,0,0,0,0,0,20,0,101,75,0,0,22,0,0,0,32,0,0,2,0,0,0,0,0,0,0,0,0,151,7,0,0,0,0,0,0,0,1,0,0,0,0,16,120,3680,0,14,1,0,0,0,0,0,52,0,0,8,0,38,0,0,51,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,40,0,0,174,0,0,0,462,261,0,0,0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,1,8722,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,8,0,0,1,0,0,0,1327,0,0,17,0,0,0,0,0,0,36386,0,0,0,0,0,0,0,0,0,14,0,0,0,41,13,36,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,4078,0,0,0,0,0,0,0,0,11,0,0,56116
22,BLZ,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,212,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,1,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,0,0,0,0,0,2,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,22,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9950,0,0,2,0,0,0,0,0,0,0,0,10945
23,BOL,0,0,0,0,0,72520,0,194,63,0,0,1,0,0,276,4,0,0,1,0,0,0,6827,0,0,0,0,0,735,148,0,3643,0,0,0,0,0,206,0,0,95,0,4,13,37,0,63,160,0,18,0,0,0,1944,0,0,15,0,131,0,0,7,0,0,0,0,0,0,0,5,0,7,0,0,0,1,30,0,1,24,0,0,16,0,0,5,0,977,0,0,0,12,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127,108,0,38,0,1,36,15,241,0,1,49,0,22,352,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0,16,7,431,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,24241,2,0,333,0,0,0,0,0,7,0,0,114779
24,BRA,0,0,0,3,0,5,0,579,42,0,0,248,0,0,2539,19,0,6,14,4,0,1990,0,0,0,0,0,0,2456,4,0,1357,18463,0,0,0,0,279,0,24,105,0,15,56,2626,0,307,311,0,0,0,0,0,11592,1,0,36,0,5,0,0,107,0,0,0,0,0,0,19,142,0,11,287,0,384,2,16,39,26,765,0,0,1293,0,0,15,245,113,0,1,49224,0,0,0,0,0,0,0,2,16,0,2,0,0,0,2,3,0,0,0,0,0,949,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,893,280,0,213,0,0,137,0,1569,0,1,66,617,8743,5,0,0,0,0,1,92,0,0,0,0,0,0,0,0,0,29,0,0,598,283,17,78,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,35,77559,0,0,684,0,210,0,0,0,235,0,0,189117
25,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1669,0,0,0,0,0,0,0,0,27,0,0,0,39,0,0,0,0,1,0,0,7,0,0,1,0,5,93,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,14,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,0,57,0,0,0,0,0,0,0,0,0,4568
26,BRN,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6317,9,0,0,0,0,3,0,0,0,0,0,0,383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,3,0,78,0,0,1,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,42,0,0,0,0,0,0,9478
27,BTN,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19336,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19354
28,BWA,0,0,0,0,0,0,0,387,1,0,0,1,0,0,13,1,0,0,0,0,0,0,10,3,0,0,0,0,35,1,23,5,5,0,0,0,0,4,0,0,3,0,12,0,0,0,2,3,0,0,0,0,0,40,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20,2,0,1,2,0,1,0,0,0,0,7,0,5,0,6,0,0,0,1,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,169,0,0,2,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,1,1,0,54,0,0,2,0,55,0,0,49,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,0,1,0,8,0,0,304,0,1,1,0,3,0,0,0,27,0,3,1332
