,for the 5-year period 1995-2000,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
29,CAF,0,0,0,0,0,1,0,8,4,0,0,6,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,89,22,0,2,0,0,2,0,574,3,0,0,1,0,2,0,65,0,2,3,0,0,0,0,0,30,0,0,1,0,1056,0,31,32,0,1,0,5,0,0,80,3,0,0,4,0,0,4,0,0,0,3,0,0,8,0,0,0,6,48,1,0,1,3,2,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,1,0,44,0,20,0,0,0,0,0,0,2,1,0,0,2,0,2,8,117,0,10,2,0,2,0,0,2,0,2,0,0,12,0,39,0,0,2,0,8,0,11,6,0,0,0,0,0,0,0,0,0,538,13,1,1,13,2,0,0,1348,103,2,0,0,0,0,0,0,1,5,137,0,0,287,1,0,1,0,0,0,0,0,12,0,0,4917
30,CAN,6,0,0,17,0,211,0,3161,128,0,0,386,0,0,103,51,0,395,6101,68,0,144,346,162,0,8,4,0,0,144,0,597,1300,0,0,0,0,291,0,1,996,0,357,510,2929,0,467,1259,21,1,0,3,0,1967,15,0,140,0,53,0,7,4016,0,19,0,27,0,0,3,3054,79,0,0,0,100,12596,131,241,295,4395,0,0,1782,0,0,78,606,494,500,6,1201,0,125,0,1763,842,0,0,10,406,96,56,0,0,0,10,21,180,0,0,0,0,11773,0,0,116,0,0,0,0,0,0,0,17,39,0,0,0,0,0,0,406,275,0,1493,0,0,349,2,569,0,7,2238,39,1407,5,0,9,0,0,58,977,4519,0,0,0,6076,0,15,0,0,1285,0,0,1,1597,464,309,5,0,0,2,9144,0,0,0,0,53,0,4,0,170,0,0,190436,0,76,184,0,244,0,1,0,274,0,0,290119
31,CHE,3,0,0,42,0,4,0,1608,1398,0,0,78,1,0,16,30,0,43,17563,0,0,70,493,1,0,5,0,0,3561,0,0,253,85,0,0,0,0,111,0,7,164,0,67,501,1858,1,460,675,0,5,0,1,0,21954,1,0,90,0,4254,0,0,4539,0,17,57,16,0,0,13,240,0,0,1,0,3,159,19,857,152,1357,0,0,492,1048,5,29,335,899,11,11,201,1,9,0,908,7,0,0,1,459,0,1,0,0,0,704,9,0,0,0,7,0,1489,1,0,15,0,0,0,0,0,0,0,9,8,0,8,0,3,0,0,809,534,16,437,0,0,69,0,69,0,1,287,3,4286,57,0,13,0,0,9,10,1683,0,0,0,0,0,2,0,0,5371,78,0,1,691,921,326,0,0,0,157,4363,0,0,0,0,9,0,314,22,25,0,0,11222,0,1,85,0,6,0,0,0,47,0,0,101427
32,CHI,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9313
33,CHL,0,0,0,0,0,0,0,5,2,1,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,9,0,4,8,0,0,0,0,0,309,0,0,0,0,3,0,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,2,54,0,0,9,10,0,0,1,7,0,0,0,50,0,3,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,91,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,4,1,1,6,0,0,9,1,24,0,0,2,0,6,0,1,0,0,0,0,9,14,0,0,0,0,0,0,0,0,1,1,0,0,19,0,1,0,0,0,0,12,0,1,0,0,0,0,0,6,4,5,0,480,8,0,1,0,0,0,0,0,0,0,0,1264
34,CHN,172,0,0,0,0,1314,0,25324,598,0,0,425,0,0,0,28,0,13,15,0,242,77,1489,0,117,169,205,0,98871,5,0,531,0,0,0,0,0,310,0,9,22,0,166,178,7442,0,910,831,0,70,0,35,0,0,22,0,526,0,0,0,5,9043,0,11,0,0,0,0,0,166,0,0,178,102,195,318784,75,0,109,3064,0,0,2792,0,0,57,0,12477,0,1370,40522,144,0,0,1541,17160,0,125,1320,0,0,7,0,0,0,0,106,20143,0,0,0,0,610,0,0,30,8197,0,0,0,0,11,5552,0,0,0,0,0,0,0,0,2756,761,4968,9141,0,0,1433,0,7140,0,0,575,944,573,0,0,23,0,0,440,0,126,0,0,0,14361,0,63,0,0,83,0,0,427,53,92,481,0,0,0,0,917,0,0,0,11,0,0,0,0,216,0,0,276024,0,0,2571,0,1868,0,0,0,2734,21,0,912814
35,CIV,0,0,0,0,0,0,0,242,128,0,0,260,6137,140370,0,2,0,8,0,0,0,0,0,0,0,0,0,14,2404,318,0,4,0,0,0,0,0,2,0,17,1,0,4,8,1575,0,332,3,0,1,0,0,0,1016,0,0,71,0,10869,0,572,2843,0,2286,273,0,0,17,0,25,0,0,0,0,0,0,0,0,0,24,0,0,210,0,0,4,0,8278,0,0,105,0,0,0,0,0,0,0,0,15698,0,2,0,0,0,4,1,0,0,0,0,0,0,0,19313,2,0,0,0,0,10,0,0,0,0,0,0,0,200,3663,0,667,194,0,25,0,0,3,0,0,0,1,0,0,69,0,0,0,0,0,0,9,0,0,0,14,0,0,929,0,0,0,0,1,0,9,3,336,0,0,0,15644,2,0,0,0,0,0,0,1,0,44,0,0,16646,0,0,4,0,0,0,0,0,112,0,0,252029
36,CMR,0,0,0,0,0,0,0,3,58,0,0,161,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1059,181,0,0,0,0,0,0,0,2,0,0,1,0,9,1,2838,0,57,2,0,0,0,0,0,521,0,0,9,0,2003,0,2699,1309,0,12,0,0,0,0,246,8,0,0,0,0,0,0,0,0,0,79,0,0,192,0,0,1,0,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,149,9167,0,200,52,0,8,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2,2,15,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,6037,0,0,1,0,0,0,0,0,24,4,0,28957
37,COD,0,0,9864,0,442,6,0,455,448,0,27303,8803,0,0,1731,8,37,0,0,0,0,6,2312,0,0,0,1680,10858,11367,1840,0,37,0,0,0,0,116616,27,0,765,2,22,296,47,12195,0,241,15,0,5,12,1576,0,2744,0,39,327,0,27997,0,3376,14244,0,16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,42,0,0,360,0,63,10,0,2698,0,6,0,0,2168,0,0,0,197,0,8,0,169,0,0,0,0,63,1,0,16,0,0,0,25,0,12,3,0,0,0,652,20,0,0,1880,0,0,11300,0,3,0,10,5026,298,0,66,0,0,10,3,1004,0,32,0,0,54197,0,0,0,60,0,1,93,658321,0,2019,0,0,0,0,0,1,0,106658,484,0,22,3,908,153,1,557,99,3,0,0,0,0,0,0,17,102359,146283,0,0,7895,0,0,62,0,129,0,0,20,13886,123738,990,1502871
38,COG,0,0,170,0,14,77,0,167,193,0,2,208,783,12,0,5,1,2,1,1,0,3,86,0,0,0,0,482,626,1956,5,51,0,0,53,1413,0,20,5,2,11,8,4,33,1153,0,76,25,0,7,25,3,1,1053,0,0,12,0,26545,0,4910,103,0,30,0,155,0,0,676,203,0,0,131,0,0,26,1,2,5,61,0,0,1234,0,0,1,153,2655,0,3,20,0,0,0,12,8,6,0,1,19,177,0,0,0,1,21,2,1,0,0,49,0,91,0,1476,5,1,0,0,0,0,78,18,844,0,84,0,84,250,309,2,411,28,0,60,0,0,6,2,429,0,30,8,0,1617,2,0,88,2,296,3,139,15722,0,0,0,1,4,3,0,0,10,0,62,17,9,4,102,39,0,394,1072,22,0,0,0,0,0,0,13,11187,13,0,3,1799,0,0,20,0,0,0,0,0,4436,1544,0,88799
39,COL,2216,0,0,0,0,145,0,425,0,0,0,13,0,0,0,2,0,0,2,0,0,202,876,0,0,0,0,0,3084,0,0,966,0,0,0,0,0,0,0,0,1145,0,10,7,223,0,313,617,0,0,0,0,0,9802,0,0,57,0,0,0,0,10,0,0,0,0,0,0,1,2,0,0,0,0,0,0,133,0,185,42,0,0,3,0,0,15,95,2,1,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,400,0,26,0,0,3438,0,0,0,0,526,0,71,17,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,11,4,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,99108,0,0,44445,0,0,0,0,0,0,0,0,170168
40,COM,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,31,0,0,0,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6757,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7551
41,CPV,0,0,0,0,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,115,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,4,1,0,0,0,0,0,541,0,0,1,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,435,27,0,1,0,0,1,0,0,0,0,0,0,5019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7340,0,0,3,0,0,0,0,0,1,0,0,13714
42,CRI,0,0,0,0,0,2,0,105,1,0,0,0,0,0,3,0,0,14,0,0,28,2,7,0,0,0,0,0,564,4,0,3,0,0,0,0,0,32,0,0,0,0,0,1,4,0,5,70,0,2,0,0,0,120,0,0,1,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,2,6,0,1,1,125,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,52,0,2,0,0,47,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18252,0,0,15,0,0,0,0,0,0,0,0,19715
43,CUB,2,0,0,0,0,443,0,39,14,0,0,55,0,0,75,25,0,56,4,2,0,174,544,0,0,0,0,0,1748,1,0,1360,2,0,0,0,0,258,0,22,606,0,5,86,1346,0,66,1759,0,0,0,0,1,14725,0,0,50,0,6,0,0,29,0,0,0,2,0,0,10,14,0,0,2,0,1,6,51,1,443,139,0,0,66,1,0,5,5,3822,335,0,5,0,0,1,0,1,0,0,0,5,0,4,0,0,0,1,20,0,0,0,0,0,3723,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,90,80,0,10,0,0,14,0,51,0,1,3247,0,129,36,0,1,0,0,0,62,1,0,0,0,1,0,0,0,0,2,1,0,1,54,6,41,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0,119330,0,0,752,0,0,0,0,0,2,0,0,156087
44,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
45,CZE,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,35,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,26,0,12251,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,760,0,0,8,0,940,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,81,0,0,0,22931,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,709,0,0,1,0,0,0,0,0,42,0,0,39023
46,DEU,48,0,0,189,0,10,43,8263,23085,0,1,10086,0,0,367,558,0,48,49666,6,6,191,1751,12,2,5,38,0,22830,27185,0,847,22,0,0,0,0,485,0,15,487,0,1555,4454,0,0,7903,1843,0,103,0,1,0,89494,270,0,716,0,24079,0,6,57588,0,2,0,32,0,0,28,39769,0,0,2,0,19,448,143,2564,404,6980,0,0,4172,26153,129,328,2280,1321,109,1,361,8,28,0,1604,93,0,1,39,3556,0,21,0,0,33,698,1327,0,0,1,17,0,11083,3,0,152,0,0,0,0,0,1,49,1,63,0,0,1,0,6,0,10980,4181,0,1425,0,0,223,34,687,0,6070,2726,0,5827,220,0,40,0,0,348,9028,1961,0,0,0,3,0,58,0,0,18410,0,0,68,518,2636,7474,0,0,0,214,7819,0,0,0,0,83,0,18273,42,128,0,0,135902,1,6,558,0,92,0,9,0,5623,0,0,679955
47,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,DNK,0,0,0,0,0,17,0,237,78,0,0,499,0,0,61,6,0,12,5105,24,0,19,24,0,0,9,5,0,57,100,0,40,0,0,0,0,0,10,0,0,9,0,18,30,120,0,0,16,2,0,0,0,0,1886,12,0,44,0,45,0,0,3668,0,0,0,1,0,0,0,0,0,0,2,0,0,31,2,13,0,112,0,0,95,464,3,319,136,26,0,0,3,0,0,0,0,0,0,0,1,42,7,0,0,0,0,198,54,1,0,0,0,0,54,0,0,8,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,336,1706,1,32,0,0,12,14,237,0,0,0,0,42,4,1,0,0,0,0,1,129,0,0,0,24,0,0,0,0,915,3,0,0,10,16,3598,0,0,0,0,179,0,0,0,0,0,0,0,0,64,0,0,1171,0,0,15,0,1,0,0,0,1,0,0,22241
49,DOM,473,0,0,0,0,486,0,10,0,0,0,0,0,0,436,1,0,14,2,0,0,0,0,0,0,0,0,0,656,0,0,64,0,0,0,0,0,0,0,0,201,0,1,1,803,0,12,0,0,0,0,0,0,8663,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,573,11,0,0,4,0,0,2,0,1094,0,0,0,0,0,0,2,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,555,69,0,2,0,0,2224,0,268,0,0,17532,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,20,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,166103,0,0,0,742,36,0,0,0,0,0,0,201403
50,DZA,5,0,0,1,311,31,0,597,289,0,0,67,1,7,42,84,27,2,8,28,0,9,99,3,3,0,1,2,10429,923,17,40,10,0,7,0,0,38,0,2,26,0,44,108,5585,17,340,90,0,2,0,1,24875,9861,1,0,158,0,73793,0,11,2357,0,3,0,39,0,0,5,464,0,0,22,0,3,49,15,21,14,276,0,0,493,0,59,18,7922,5293,17,6,15,1,90,0,81,4,159,0,10,70,156,2,0,0,0,26,14,0,56,0,221,0,1315,3,66,24,0,0,0,0,0,27,2,2,3,4,0,73,177,9,0,1225,265,0,94,0,12,23,1,73,0,40,390,0,377,5,0,109,44,15,12,574,12,0,6,0,47,3,5,0,0,30,530,3,10,26,22,350,0,1,143,14,358,0,0,0,0,14,0,188,1,637,0,1,8157,0,1,60,0,8,0,0,11,99,0,0,161677
51,ECU,106,0,0,0,0,965,0,489,122,0,0,2,0,0,5,3,0,7,4,0,0,347,726,2,0,0,0,0,4275,345,0,5707,20,0,0,0,0,4635,0,0,633,0,3,13,1446,0,209,625,0,0,0,0,0,17047,0,0,23,0,315,0,0,12,0,0,0,0,0,0,0,9,1,0,0,0,5,13,154,1,32,62,0,0,37,16,0,9,11,12440,17,0,55,3,0,0,1,1,0,0,0,16,0,1,0,0,0,3,0,0,0,0,0,0,2134,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,346,209,0,34,0,0,1068,396,255,0,4,767,1,136,41,0,0,0,0,0,14,6,0,0,0,3,0,1,0,0,3,0,0,1,10,5,269,0,0,0,1,6,0,0,0,0,11,0,0,0,1,0,0,181469,1,1,14735,0,1,0,0,0,6,0,0,252914
52,EGY,16,2,0,309,134524,372,16,27280,7814,3,1,582,51,45,1252,124,12509,10,87,98,0,36,2826,9,20,4,10,29,31210,3503,59,227,80,94,37,0,12,194,2,5,79,4,2863,195,12575,160,1283,223,718,26,0,16,2,4700,5,27,443,0,16962,0,46,29936,0,32,20,57,0,1,30,6303,0,11,41,0,8,338,47,69,41,871,0,44,1005,250,17250,38,19246,28524,43,94385,989,61,301,11,236,26,69053,0,81324,339,15026,5,0,0,3,68,46,3,36,3,60,6,3435,1173,7,349,4,0,0,0,115,28,15,32,46,71,280,32,33,9321,1,7620,456,7,1358,0,49,105,12,682,0,226,1006,2,497,21,13472,31,20751,95,118,3162,349,112082,4058,0,350,2,27,0,0,217,1280,7,29,181,95,1912,1,9,401,99,1145,0,2,0,0,33,38,1584,33,1960,36,2,126877,12,3,406,0,80,0,2,1963,1666,1,1,951520
53,ERI,0,0,0,0,1,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,8,2,0,0,0,0,0,0,0,0,248,1,0,4,0,0,177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,24,297,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,10,27,0,2,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,1,1609,2,8940,0,0,0,0,0,0,0,178,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,686,0,0,0,0,0,0,0,0,113,0,0,12747
54,ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ESP,1,0,0,0,0,6,0,33,6,0,0,7,0,0,0,0,0,0,11,0,1,0,8,0,0,0,1,0,447,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,101,0,8,4,0,0,0,0,0,0,0,0,3,0,0,0,0,150,0,0,0,0,0,0,447,1,0,0,1,0,1,154,0,0,1,29,0,0,41,0,0,0,0,193,0,7,20,0,0,0,3,4,0,0,7,465,0,0,0,0,0,0,1,10,0,0,0,0,2,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,38,6,5,13,0,0,6,0,4,0,0,3,0,29,0,0,0,0,0,3,0,1,0,0,0,15,0,1,0,0,2,0,0,3,1,1,3,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1355,0,0,14,0,1,0,0,0,11,0,0,3726
56,EST,0,0,0,1,0,30,0,47,76,1,0,20,0,0,0,26,0,0,1,292,0,0,0,0,0,0,0,0,596,27,0,13,2,0,0,0,0,4,0,0,1,0,15,106,8432,0,269,1,0,0,0,0,0,95,0,0,6938,0,84,0,0,225,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,100,0,0,890,0,0,14,136,230,0,0,7,70,0,27,0,4,0,0,0,0,1,0,0,0,0,1,2243,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,196,0,24,0,0,3,2,0,0,154,0,0,115,0,0,0,0,0,3,10859,0,0,0,0,0,0,0,0,0,7,0,0,0,39,8,1621,0,0,0,0,0,0,0,0,0,0,0,14,0,1,743,0,3342,0,0,10,0,0,0,0,0,24,0,0,38368
