,for the 5-year period 1995-2000,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
141,PHL,346,0,0,0,8367,17,0,28279,1476,0,0,365,0,0,0,5,366,56,0,1,0,14,0,0,4120,6,0,0,79283,880,0,81,19642,0,0,0,0,25,0,0,45,0,900,53,818,0,1240,46,31,3,0,0,0,5989,0,0,225,0,851,0,0,7840,0,4,0,0,0,0,0,548,0,12,0,3610,0,35479,0,0,0,113,0,0,3010,0,0,330,17,12244,0,0,43706,0,0,0,1328,7561,1253,6,216,22,195,0,0,0,0,11,0,3419,0,0,1,0,176,0,0,31,0,0,0,0,0,0,0,0,47456,0,0,1,0,0,2,1764,1635,0,3696,0,0,190,0,0,80,2,109,622,92,8,0,1,219,0,0,0,0,1,0,0,1827,0,0,0,0,0,3,0,0,7,5,901,0,0,0,0,809,0,0,0,0,0,0,37,0,1,0,0,506348,0,0,39,0,990,0,0,0,48,0,0,841555
142,PNG,0,0,0,0,0,0,0,1010,4,0,0,1,0,0,307,0,0,0,0,0,0,0,3,0,2,0,0,0,119,5,0,3,6,0,0,0,0,3,0,0,2,0,1,0,1,0,4,2,0,0,0,0,0,6,0,0,1,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,1,0,1,0,0,15,0,0,1,2,5,2,0,10,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,152,0,0,1,0,194,0,0,31,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,627,0,0,0,0,1,0,15,0,3,0,0,2853
143,POL,1,0,0,2,0,1,0,32,2619,0,0,922,0,0,28,71,0,0,1718,81,0,4,15,1,0,0,0,0,642,33,0,18,11,0,0,0,0,16,0,0,13,0,85,4641,123040,1,1512,105,1,0,0,0,1,3012,90,0,5,0,7,0,0,167,0,3,1,0,0,0,0,367,0,0,0,0,2,43,11,211,4,350,0,0,15790,46,0,556,24,5516,12,0,69,1,1,0,12,3,0,0,0,57,2,1,0,0,0,7,10,0,0,0,0,0,997,0,0,19,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2098,759,0,15,0,0,20,0,48,0,0,288,0,112,1,0,0,0,0,5,4,45,0,0,0,2,0,2,0,0,683,14,0,0,2426,139,2444,0,0,0,3,62,0,0,0,0,9,0,1,1,10,2,0,61257,0,1,67,0,5,0,0,0,20,0,0,233557
144,PRI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,90687,0,0,0,0,0,0,0,0,0,0,0,91748
145,PRK,0,0,0,0,0,0,0,31,35,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,5,0,1,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,28,0,0,0,0,6,0,0,0,2729,0,140,57,7,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,572,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,19,2,1696,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,38,0,38,0,0,0,0,0,0,52,0,0,24,365,0,3,0,0,0,0,0,0,0,0,5987
146,PRT,8,0,0,0,0,0,0,0,95,0,0,5419,0,0,0,15,0,3,1,0,0,0,692,0,0,0,3,0,2586,2441,373,44,0,0,0,0,0,6,0,0,11,0,8,6,6811,0,132,42,0,0,0,0,0,20884,0,0,15,0,2958,0,0,5220,0,0,0,22,0,0,0,0,0,0,0,0,0,3,1,0,0,112,0,0,457,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10047,0,0,0,0,0,0,110,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,84,0,21,0,0,0,0,14,0,0,19,0,0,5,0,0,0,0,23,0,134,0,0,0,0,0,0,0,0,0,0,2,0,2,6,212,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,18386,0,0,1062,0,0,0,0,0,689,0,0,79703
147,PRY,0,0,0,0,0,33422,0,70,9,0,0,16,0,0,205,1,0,0,1,0,0,1284,6340,0,0,0,0,0,249,0,0,503,1206,0,0,0,0,28,0,1,19,0,2,6,160,0,31,33,0,0,0,0,0,946,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,19,0,27,24,4,2,0,15,0,0,92,0,0,2,15,212,0,1,3443,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,80,30,1,29,0,0,16,2,131,0,0,4,41,547,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,1,0,0,41,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10559,0,0,55,0,14,0,0,0,17,0,0,60090
148,PSE,1,0,0,0,1,0,0,92,67,0,0,0,0,0,252,33,0,1,1,52,0,3,40,2,0,0,0,0,17,1,0,16,5,0,0,0,0,24,0,1,38,0,79,21,5,0,157,60,0,0,0,0,0,352,0,0,16,0,26,0,1,1772,0,3,0,0,0,0,0,0,0,0,0,0,3,50,22,3,5,366,0,0,80,0,1,2,9468,3,17,317,0,0,0,0,3,0,0,0,294,51,0,1,0,0,0,0,10,0,0,0,0,0,1579,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,38,0,106,0,0,111,0,232,0,0,429,0,28,5,0,0,0,0,160,0,6,0,0,0,1,0,4,0,0,2,0,0,0,19,3,72,0,0,0,3,36,0,0,0,0,13,0,0,0,15,0,0,17431,0,1,2,0,7,0,1,0,34,0,0,34308
149,PYF,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,1,0,135,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,986
150,QAT,2,47,0,0,567,0,0,603,36,0,0,6,0,0,27,5,15,0,0,0,0,4,8,2,3,0,1,0,1449,43,31,22,17,0,0,0,0,4,0,0,5,0,50,13,155,2,77,4,70,0,1,0,0,83,0,0,7,1,192,0,0,550,0,1,0,0,0,0,0,40,0,0,0,0,1,46,2,0,1,22,0,30,60,19,16,3,44,159,5,109,27,15,11,1,89,12,76,0,8,10,448,1,0,0,0,1,0,0,0,0,1,0,204,9,0,4,11,0,0,0,5,0,0,5,21,0,0,0,0,0,0,90,48,15,90,19,1298,4,1,189,0,3,55,0,10,0,3133,0,0,0,2,46,2,0,139,0,110,0,2,0,8,0,594,0,3,5,2,40,0,0,0,0,404,0,0,0,0,3,0,24,1,162,0,0,2716,2,1,1,0,5,0,0,0,10,0,0,14856
151,REU,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3,0,0,0,0,0,1,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,40,0,0,829
152,ROU,0,0,0,8,0,2,0,3150,6581,89,0,425,0,0,186,1315,0,17,372,2,0,2,1,0,0,0,0,0,22622,1059,0,42,0,0,0,0,0,7,0,0,32,0,1108,3207,82978,0,852,17,0,8,0,0,0,4842,1,0,292,0,4298,0,0,1898,0,0,0,0,0,0,0,13012,0,0,0,0,0,0,0,31,0,27607,0,0,3500,238,1,46,15370,46937,0,1,2,0,0,111,0,0,0,0,3,2,0,0,0,0,1,138,4,0,0,65,0,0,101,4,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,566,0,370,0,0,36,0,101,0,221,13,0,1288,0,0,0,0,0,0,668,2,0,0,0,0,0,0,0,0,2051,1,0,0,2653,82,2497,0,0,0,0,4,0,46,0,0,0,0,2472,0,0,0,54,57966,360,0,215,0,2,0,0,0,319,0,0,316153
153,RUS,3,2,0,7,35,23,1,350,197,21,0,41,3,0,26,19,2,1,460,11,3,3,34,1,1,4,9,0,1950,49,2,19,19,0,0,0,0,17,0,0,8,0,114,373,6406,21,291,24,5,1,0,1,10,549,5,0,102,0,291,0,2,1056,0,1,14,0,0,0,14,385,0,0,3,0,3,838,5,52,3,1960,0,37,428,2015,18,15,131,905,4,36,160,760,4,1111,156,59,12,1,41,132,22,1,0,0,0,11,140,52,0,46,1,0,472,34,0,4,43,0,0,0,0,0,55,6,96,0,19,0,1,7,0,373,190,70,82,0,60,29,1,170,0,1,100,2,57,1,0,0,2,0,26,0,452,0,0,0,95,0,3,0,0,258,124,0,6,1742,37,196,0,0,0,33,388,1,18,0,0,3,0,68,25,57,0,0,13742,130,0,48,0,10,0,0,0,55,0,0,41540
154,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,SAU,56,2793,0,0,92984,119,194,18884,3552,33,0,716,7,1,3589,113,9309,31,7,2,14,29,907,72,407,1240,312,114,72772,2696,319,417,2850,24,459,0,5,271,0,4,147,4,1624,103,14955,255,4468,323,3749,27,1230,24,0,5955,8,1,634,80,10969,0,65,64629,0,87,247,22,0,0,1,4409,0,10,0,92,24,5967,123,17,35,533,0,9480,3553,4662,6843,111,7063,20054,266,4207,3973,1249,1162,49,3296,1860,35795,0,6513,952,23113,25,0,0,4,19,27,59,610,5,249,84,10011,891,0,118,2822,0,0,0,116,8,770,212,19090,0,0,39,0,376,4,14872,3436,5375,2912,125,78572,408,15,2290,107,54,2757,82,1101,58,9552,2,8927,0,392,140,256,0,10177,174,10864,10,173,0,993,18,15362,4,3,51,23,4089,1,4,1217,67,16179,2,26,0,8,148,48,2649,272,5458,0,1,298006,166,11,2146,0,493,0,4,10,1277,39,5,1007470
156,SDN,0,0,1,0,17913,43,0,3496,702,0,0,216,118,5,375,25,1621,2,0,0,1,2,4,0,0,3,19,4069,10779,1165,0,15,1,129,17320,0,479,12,0,2,1,9,93,45,5793,6473,868,9,46,1,0,347,0,370,0,281761,450,0,4713,0,706,9835,0,52,1,0,0,0,2,446,0,1,0,0,0,106,0,0,0,150,0,0,730,0,2383,26,39624,951,0,311,67,0,19058,0,1,14,8711,0,335,54,358,3,0,0,0,4,2,7,302,0,1,0,17,0,20,31,11,0,0,0,8,0,17,1,15,0,0,0,71,14890,11,5525,1872,14,498,0,0,11,3,21,0,37,1,0,76,0,0,0,2603,0,4,153,61034,2022,0,0,19,0,37,0,0,1,0,213,1,32,34,7170,17,34,63325,52,2,0,0,0,0,0,0,90,7,37220,0,0,67843,0,0,26,0,40,0,0,1055,873,1,0,710795
157,SEN,0,0,1,0,7,21,0,224,143,0,0,506,370,999,4,5,1,3,1,0,0,3,82,0,0,0,0,431,2275,521,3,37,27,10861,12,0,1832,24,1,569,10,0,5,18,1451,0,95,38,0,2,0,1,881,7847,0,0,29,0,37539,0,7367,187,0,116,7762,183,8696,3134,41,29,0,0,160,0,1,11,3,2,7,26,0,0,70,0,91,7,249,21680,3,5,81,0,0,0,6,5,3,0,0,6608,21,1,0,0,0,15,1,0,0,0,20,0,257,0,2427,3,0,0,0,0,12429,93,6,0,0,24,0,46,1624,9496,19,605,68,0,21,0,0,8,2,6,0,15,73,1,1519,2,0,67,1,101,2,44,9,0,0,0,0,2,2436,0,0,8,0,22,21,13,4,143,0,0,2,1515,12,0,0,0,0,2,0,43,0,4,0,2,12302,0,0,27,0,1,0,0,0,531,91,0,169619
158,SGP,0,0,0,0,0,1,0,10009,46,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,256,5,0,0,3174,155,0,29,33,0,0,0,0,3,0,0,0,0,6,4,223,0,128,7,19,2,0,0,0,0,0,0,16,0,229,0,0,8108,0,0,0,0,0,0,0,7,0,0,0,0,0,4122,0,0,0,12,0,0,137,0,0,5,0,90,0,0,413,0,0,0,240,0,0,0,0,0,105,0,0,0,0,1,1,0,0,0,0,0,32,0,0,4,0,0,0,0,0,0,4,0,12255,0,0,0,0,0,0,476,117,0,1040,0,0,12,0,68,0,2,0,0,704,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,118,0,0,0,0,619,0,0,0,0,0,0,27,0,0,0,0,10032,0,0,4,0,174,0,0,0,148,0,0,53436
159,SLB,0,0,0,0,1,0,0,569,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,2,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,3,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13,1,0,253,0,0,0,0,2,78,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,9,0,1,0,0,1161
160,SLE,0,0,0,0,3,0,1,199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,415,6,0,1,0,0,0,0,0,7,0,0,0,0,1,0,101,0,40,8,0,1,0,0,0,67,0,0,1,0,71,0,6,40,0,7,71221,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,131303,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,0,0,3,0,1,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2664,0,0,46,0,0,0,0,0,1,0,0,206497
161,SLV,5,0,0,0,0,59,0,2851,16,0,0,3,0,0,98,2,0,6,0,0,1888,47,202,3,0,0,0,0,12560,104,2,98,20,0,0,0,0,182,0,0,598,3,4,4,84,0,27,271,7,43,0,0,0,1491,0,0,9,0,250,0,0,43,0,0,0,5,0,0,1,7,1,12,3,0,3,30,261,1,24,9,0,0,27,8,0,2,9,2235,95,0,52,0,0,0,1,3,0,0,0,11,55,2,0,0,0,1,0,0,0,0,0,0,3951,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,96,45,0,37,0,0,658,11,60,0,1,615,1,29,21,0,2,0,2,1,10,4,0,0,0,3,0,1,0,0,1,0,0,2,2,1,638,0,0,0,1,12,0,0,0,0,11,0,3,0,2,0,0,371550,0,1,349,0,2,0,0,0,11,0,0,401978
162,SOM,0,0,0,0,711,15,0,1183,152,0,0,61,0,0,0,5,60,0,0,0,0,1,0,0,0,0,0,0,2833,291,0,0,0,0,0,0,0,3,0,0,0,3,7,10,1669,3111,236,0,12,0,0,0,0,72,0,112708,139,0,658,0,0,1482,0,4,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,22,0,0,48,0,0,8,8891,0,0,10,0,0,6096,0,0,0,304,0,0,0,87,1,0,0,0,1,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1443,560,0,197,0,0,1,1,0,0,8,0,0,3,0,0,0,103,0,0,33,0,615,0,0,0,0,0,0,0,0,0,0,0,3,2,2212,8,0,0,0,0,0,0,0,0,0,0,8,0,91,0,0,20281,0,0,7,0,0,0,0,0,296,0,0,166867
163,SRB,0,0,0,8598,0,0,0,13779,20875,0,0,2936,0,0,0,326,0,0,24328,0,0,0,0,0,0,0,0,0,4764,37069,0,0,0,0,0,0,0,0,0,0,3,0,447,1090,74190,0,792,73,0,0,0,0,0,0,0,0,0,0,5962,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,0,32741,0,0,0,0,0,0,0,244,0,22531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,0,0,0,0,0,9,1071,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18531,5275,0,246,0,0,11,0,0,0,27,8,0,65,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,9565,2050,0,0,0,0,0,0,0,0,0,0,0,3537,0,0,0,0,62577,0,0,166,0,0,0,0,0,92,0,0,357139
164,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,STP,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,1,0,921,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,354,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,3583,0,0,0,0,0,0,20,411,0,0,0,0,0,0,0,0,0,104,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,6002
166,SUR,357,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,188,3,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,34,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,289,0,1084,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5869,5,0,4,0,0,0,0,48,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2204,0,0,0,0,0,0,0,0,0,0,0,10239
167,SVK,0,0,0,0,0,0,0,475,0,0,0,69,0,0,0,10,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,33864,0,0,0,1,0,0,0,0,0,101,0,0,4,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6927,0,0,1548,0,0,1,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,13,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,78,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,31,0,0,49142
168,SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1124,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9456
169,SWE,1,0,0,1,0,0,0,1082,343,0,0,1527,0,0,0,19,0,14,14118,76,0,0,247,0,0,6,16,0,1345,545,0,410,0,0,0,0,0,31,0,0,31,0,142,65,1987,0,4059,138,0,0,0,1,0,4527,57,0,1289,0,674,0,0,3935,0,0,20,0,0,0,4,298,0,0,0,0,0,20,6,121,0,645,0,0,651,6717,31,497,7,97,0,0,247,0,39,0,655,5,0,0,0,1507,0,0,0,0,0,313,55,0,0,0,0,0,221,0,0,29,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,771,10883,2,314,0,0,23,1,22,0,0,4,0,283,8,0,0,0,0,0,0,687,0,0,0,15,0,0,0,0,2799,92,0,0,55,115,0,0,0,0,56,3243,0,0,0,0,0,0,167,2,39,0,0,5537,0,0,19,0,2,0,0,0,41,0,0,74057
